year,month,day,date,temp_observ,precip,wind,temp_low,temp_medium,temp_high,precip_low,precip_medium,precip_high,wind_low,wind_medium,wind_high,multiplier,total_cust,holiday
2011,1,1,1/1/11,2.772727273,0.069333333,2.575,-0.05,0,0,0.05,0,0,0,-0.05,0,-0.05,959,
2011,1,2,1/2/11,7.327272727,1.037349398,3.925,-0.05,0,0,0,0,-0.1,0,-0.05,0,-0.2,781,
2011,1,3,1/3/11,-3.06,1.878823529,3.625,-0.05,0,0,0,0,-0.1,0,-0.05,0,-0.2,1301,
2011,1,4,1/4/11,-3.1,0,1.8,-0.05,0,0,0.05,0,0,0.05,0,0,0.05,1536,
2011,1,5,1/5/11,-1.772727273,0,2.95,-0.05,0,0,0.05,0,0,0,-0.05,0,-0.05,1571,
2011,1,6,1/6/11,-4.245454545,0,1.6,-0.05,0,0,0.05,0,0,0.05,0,0,0.05,1573,
2011,1,7,1/7/11,-1.57,0.101204819,2.55,-0.05,0,0,0.05,0,0,0,-0.05,0,-0.05,1493,
2011,1,8,1/8/11,-2.472727273,0.285057471,4.575,-0.05,0,0,0,-0.05,0,0,-0.05,0,-0.15,939,
2011,1,9,1/9/11,-6.072727273,0.283529412,6.425,-0.05,0,0,0,-0.05,0,0,0,-0.1,-0.2,802,
2011,1,10,1/10/11,-5.177777778,0,2.975,-0.05,0,0,0.05,0,0,0,-0.05,0,-0.05,1298,
2011,1,11,1/11/11,-3.1,0.460240964,1.35,-0.05,0,0,0,-0.05,0,0.05,0,0,-0.05,1231,
2011,1,12,1/12/11,-3.38,3.52688172,5.675,-0.05,0,0,0,0,-0.1,0,0,-0.1,-0.25,1141,
2011,1,13,1/13/11,-4.16,0,5.025,-0.05,0,0,0.05,0,0,0,0,-0.1,-0.1,1383,
2011,1,14,1/14/11,-5.83,0.003797468,2.125,-0.05,0,0,0.05,0,0,0.05,0,0,0.05,1384,
2011,1,15,1/15/11,-3.945454545,0,2.2,-0.05,0,0,0.05,0,0,0.05,0,0,0.05,1240,
2011,1,16,1/16/11,0.409090909,0,3.3,-0.05,0,0,0.05,0,0,0,-0.05,0,-0.05,1188,
2011,1,17,1/17/11,-2.12,0.420512821,3.1,-0.05,0,0,0,-0.05,0,0,-0.05,0,-0.15,993,1
2011,1,18,1/18/11,-1.77,10.54157303,3.25,-0.05,0,0,0,0,-0.1,0,-0.05,0,-0.2,672,
2011,1,19,1/19/11,1.122222222,0.88452381,3.275,-0.05,0,0,0,0,-0.1,0,-0.05,0,-0.2,1631,
2011,1,20,1/20/11,-0.44,0.04025974,3.275,-0.05,0,0,0.05,0,0,0,-0.05,0,-0.05,1896,
2011,1,21,1/21/11,-1.472727273,0.831818182,6.125,-0.05,0,0,0,0,-0.1,0,0,-0.1,-0.25,1522,
2011,1,22,1/22/11,-9.590909091,0,2.375,-0.05,0,0,0.05,0,0,0.05,0,0,0.05,969,
2011,1,23,1/23/11,-8.072727273,0,3.625,-0.05,0,0,0.05,0,0,0,-0.05,0,-0.05,977,
2011,1,24,1/24/11,-11.87272727,0,2.55,-0.05,0,0,0.05,0,0,0,-0.05,0,-0.05,1405,
2011,1,25,1/25/11,-2.081818182,0,1.575,-0.05,0,0,0.05,0,0,0.05,0,0,0.05,1971,
2011,1,26,1/26/11,0.5,9.01625,5.075,-0.05,0,0,0,0,-0.1,0,0,-0.1,-0.25,500,
2011,1,27,1/27/11,-1.318181818,29.52911392,3.2,-0.05,0,0,0,0,-0.1,0,-0.05,0,-0.2,424,
2011,1,28,1/28/11,-1.863636364,0.134177215,1.675,-0.05,0,0,0.05,0,0,0.05,0,0,0.05,1151,
2011,1,29,1/29/11,-4.22,1.44,1.875,-0.05,0,0,0,0,-0.1,0.05,0,0,-0.1,1070,
2011,1,30,1/30/11,-4.6,0,1.2,-0.05,0,0,0.05,0,0,0.05,0,0,0.05,1084,
2011,1,31,1/31/11,-2.94,0,2.675,-0.05,0,0,0.05,0,0,0,-0.05,0,-0.05,1418,
2011,2,1,2/1/11,-3.081818182,0.497468354,1.2,-0.05,0,0,0,-0.05,0,0.05,0,0,-0.05,1331,
2011,2,2,2/2/11,0.718181818,18.68068182,4.65,-0.05,0,0,0,0,-0.1,0,-0.05,0,-0.2,1502,
2011,2,3,2/3/11,-2.472727273,0.384810127,4.2,-0.05,0,0,0,-0.05,0,0,-0.05,0,-0.15,1534,
2011,2,4,2/4/11,-3.281818182,0,1.875,-0.05,0,0,0.05,0,0,0.05,0,0,0.05,1691,
2011,2,5,2/5/11,0.972727273,1.992307692,2.4,-0.05,0,0,0,0,-0.1,0.05,0,0,-0.1,992,
2011,2,6,2/6/11,1.927272727,2.756,2.725,-0.05,0,0,0,0,-0.1,0,-0.05,0,-0.2,1603,
2011,2,7,2/7/11,-1.72,0,0.975,-0.05,0,0,0.05,0,0,0.05,0,0,0.05,1687,
2011,2,8,2/8/11,1.209090909,0.209411765,6.525,-0.05,0,0,0.05,0,0,0,0,-0.1,-0.1,1510,
2011,2,9,2/9/11,-6.1,0.003797468,2.975,-0.05,0,0,0.05,0,0,0,-0.05,0,-0.05,1592,
2011,2,10,2/10/11,-5.209090909,0.531111111,3.65,-0.05,0,0,0,-0.05,0,0,-0.05,0,-0.15,1520,
